record_id,date,market,commodity,farm_gate_price_inr_per_kg,wholesale_price_inr_per_kg,retail_price_inr_per_kg,price_index
SP001,2026-01-01,Mumbai,Tomato,27.45,32.01,45.19,150.6
SP002,2026-01-04,Pune,Potato,24.55,28.3,37.12,132.6
SP003,2026-01-07,Nashik,Onion,31.01,35.67,44.36,138.6
SP004,2026-01-10,Ahmedabad,Carrot,41.94,52.95,67.85,169.6
SP005,2026-01-13,Bengaluru,Spinach,22.63,25.58,31.14,124.6
SP006,2026-01-16,Delhi,Mango,59.6,74.33,90.61,129.4
SP007,2026-01-19,Mumbai,Banana,36.72,41.04,54.97,122.2
SP008,2026-01-22,Pune,Apple,98.24,130.3,183.45,152.9
SP009,2026-01-25,Nashik,Cabbage,23.14,26.83,36.24,120.8
SP010,2026-01-28,Ahmedabad,Cauliflower,28.5,32.29,46.2,132.0
SP011,2026-01-31,Bengaluru,Tomato,27.64,33.67,46.65,155.5
SP012,2026-02-03,Delhi,Potato,27.78,31.88,37.59,134.2
SP013,2026-02-06,Mumbai,Onion,28.14,33.93,43.77,136.8
SP014,2026-02-09,Pune,Carrot,38.75,49.15,71.03,177.6
SP015,2026-02-12,Nashik,Spinach,19.49,23.4,29.29,117.2
SP016,2026-02-15,Ahmedabad,Mango,70.6,82.05,99.04,141.5
SP017,2026-02-18,Bengaluru,Banana,39.81,47.99,59.2,131.6
SP018,2026-02-21,Delhi,Apple,98.99,131.74,169.01,140.8
SP019,2026-02-24,Mumbai,Cabbage,30.25,37.44,43.62,145.4
SP020,2026-02-27,Pune,Cauliflower,36.74,48.09,69.28,197.9
SP021,2026-03-02,Nashik,Tomato,30.84,40.47,48.56,161.9
SP022,2026-03-05,Ahmedabad,Potato,25.08,28.93,36.75,131.2
SP023,2026-03-08,Bengaluru,Onion,24.56,29.34,42.41,132.5
SP024,2026-03-11,Delhi,Carrot,33.18,43.0,55.32,138.3
SP025,2026-03-14,Mumbai,Spinach,21.92,29.36,42.53,170.1
SP026,2026-03-17,Pune,Mango,64.17,82.11,98.24,140.3
SP027,2026-03-20,Nashik,Banana,37.76,50.68,67.09,149.1
SP028,2026-03-23,Ahmedabad,Apple,109.52,140.95,164.51,137.1
SP029,2026-03-26,Bengaluru,Cabbage,27.76,34.03,47.84,159.5
SP030,2026-03-29,Delhi,Cauliflower,27.9,37.39,43.9,125.4
