log_id,dispatch_date,route,produce,transit_duration_hours,avg_temperature_c,avg_humidity_pct,vibration_index,estimated_damage_pct,freshness_score
TD001,2026-01-01,Nashik-Mumbai,Tomato,12,18.8,73,4.1,8.55,87.17
TD002,2026-01-03,Pune-Mumbai,Potato,6,36.0,63,3.23,12.18,81.73
TD003,2026-01-05,Ahmedabad-Mumbai,Onion,26,33.6,76,4.4,14.31,78.53
TD004,2026-01-07,Bengaluru-Mumbai,Carrot,19,35.3,61,4.03,10.97,83.55
TD005,2026-01-09,Delhi-Mumbai,Spinach,25,33.6,76,3.71,13.82,79.27
TD006,2026-01-11,Nagpur-Pune,Mango,19,23.3,56,2.03,4.41,93.39
TD007,2026-01-13,Nashik-Mumbai,Banana,34,22.4,79,1.9,7.96,88.06
TD008,2026-01-15,Pune-Mumbai,Apple,18,22.5,62,2.09,4.92,92.62
TD009,2026-01-17,Ahmedabad-Mumbai,Cabbage,8,37.3,67,1.9,10.8,83.8
TD010,2026-01-19,Bengaluru-Mumbai,Cauliflower,47,37.6,84,1.82,11.41,82.88
TD011,2026-01-21,Delhi-Mumbai,Tomato,20,21.6,66,0.65,3.95,94.08
TD012,2026-01-23,Nagpur-Pune,Potato,26,32.6,70,2.25,11.36,82.96
TD013,2026-01-25,Nashik-Mumbai,Onion,11,25.7,86,1.26,6.86,89.71
TD014,2026-01-27,Pune-Mumbai,Carrot,31,18.0,84,3.25,9.0,86.5
TD015,2026-01-29,Ahmedabad-Mumbai,Spinach,46,21.9,77,0.78,5.73,91.41
TD016,2026-01-31,Bengaluru-Mumbai,Mango,25,30.5,57,3.38,9.33,86.0
TD017,2026-02-02,Delhi-Mumbai,Banana,23,31.3,70,2.11,8.67,87.0
TD018,2026-02-04,Nagpur-Pune,Apple,12,21.8,74,3.21,8.97,86.55
TD019,2026-02-06,Nashik-Mumbai,Cabbage,43,29.4,75,2.69,8.42,87.37
TD020,2026-02-08,Pune-Mumbai,Cauliflower,22,22.2,87,2.93,8.59,87.11
TD021,2026-02-10,Ahmedabad-Mumbai,Tomato,32,26.8,63,2.54,8.51,87.23
TD022,2026-02-12,Bengaluru-Mumbai,Potato,14,31.2,68,2.56,9.95,85.08
TD023,2026-02-14,Delhi-Mumbai,Onion,25,19.9,65,3.19,5.17,92.25
TD024,2026-02-16,Nagpur-Pune,Carrot,16,20.9,52,1.48,4.22,93.67
TD025,2026-02-18,Nashik-Mumbai,Spinach,8,27.1,90,2.8,11.7,82.45
TD026,2026-02-20,Pune-Mumbai,Mango,28,27.9,65,1.09,6.84,89.74
TD027,2026-02-22,Ahmedabad-Mumbai,Banana,10,33.6,64,1.2,9.77,85.34
TD028,2026-02-24,Bengaluru-Mumbai,Apple,37,27.3,85,1.5,10.0,85.0
TD029,2026-02-26,Delhi-Mumbai,Cabbage,33,20.7,79,3.17,9.39,85.91
TD030,2026-02-28,Nagpur-Pune,Cauliflower,42,24.3,78,2.95,9.46,85.81
